post_id,title,italian_caption
post-0412,Supermarine Spitfire,"Sì, è proprio lui! Il primissimo kit Airfix di aereo in tutto il suo splendore.
Modello di Franco Donati."
post-0413,Fairchild C113,"Possibly e old small scala giapponese kit.
Modello di Franco Donati."
post-0418,DeHavilland Mosquito NF Mk XVII,Conversione del kit Airfix by adding una new radome.
post-0421,Hawker P1127,"Primo modello bought by me at 'Modellolismo e Pesca'.
Modello costruito in cooperation con Franco Donati."
post-0428,Arado Ar234 B,Insolito kit soggetto in those old tims.
post-0433,Focke Wulf FW200 Condor,bel kit per l’epoca.
post-0443,Henschel Hs 132,"Primo kit comprato, at 'La Gioia dei Bimbi'.
Il 75mm cannon looks disproportionate."
post-0452,Bachem Ba 349 Natter,Bel kit complete con detailed launching tower.
post-0453,Grave Digger,Easy but colorata e grazioso snap-on kit.
post-0454,US M1A1 Abrams,Kit motorizzato.
post-0458,Mil Mi28 Havoc,Il kit fu based on leaked spy photos e il modello forma fu updatd (added radome etc).
post-0460,Kamov Ka-34 Hokum,"Twin seat versione, il modello fu still based on speculations e spy photos."
post-0464,Junkers Ju87 B Stuka,"Also in questo case, una notevole kit in questa scala."
post-0467,Porsche 908 LeMans,"Old heller kit, bello memories in primo dealing con aerodynamic shapes."
post-0468,'Maus' super heavy tank,These two modellos erano included nel Landkreuzer 'Ratte' modello kit.
post-0471,Hot Rod,"Modello costruito da Franco Donati, old Airfix kit."
post-0474,Messerschmitt Me110G,Insolito kit per l’epoca in questo grande scala.
post-0475,88mm FLAK gunn and Tractor,Intricate e detailed kit per l’epoca.
post-0478,Paddy Wagon,Lolvey kit di una glamorous buffa auto by Tom Daniel.
post-0480,Panzer IV,old motorized autoro kit da una giapponese company.
post-0481,Dune Buggy,"Lovely kit in una insolito scala; pre-painted body, funzionante torsion bar suspensions."
post-0484,Blue Devil Destroyer,"USS Melvin (DD-680), Fletcher class destroyer US Navy.
Enorme kit, can be used per radio control."
post-0496,PzKpfW IV (Schräg),I wanted una check how una Pz IV con sloped armor would look like.
post-0501,Avia S-199,Ultimo sviluppo del Me 109 con motore Junkers Jumo 211F. Prima della consegna alla IAF. Kit in plastica short-run.
post-0503,Focke Wulf FW190 D9,Old Fujimi kit con motorized elica.
post-0509,Kawasaki Ki 45 kai hei Toryu Nick,"Livrea Very nice subject e kit, I like il colorful."
post-0511,T90 tank,Kit motorizzato.
post-0513,Henschel Hs.129 B2/R2,"10(Pz.) StuKa Geschwader 9.
ESCI a quell’epoca aveva davvero una notevole gamma di kit in scala 1/48."
post-0516,3cm Flakvierling 103/38,"Fictitios modello, il kit fu una bit flimsy (i will fix il barrel alignment)."
post-0518,Geschuetzwagen IV fuer 10.5cm le.F.H. 18/1 (Sf) SD.Kfz 165/1),"Very original kit, sorry per il foto da rifare."
post-0519,Junkers Ju87 D,"Night attack versione, bello aerodynamic refinement del original StuKa concetto even though il fixed autorello still limited its performance."
post-0532,Jagdpanzer Elefant,Kit motorizzato.
post-0535,37mm FLAK gun,Piccolo kit grazioso much detailed.
post-0539,Hotchkiss H39,"Grazioso insolito piccolo kit, insolito con those grande rockets added."
post-0551,T80BV,Bel kit con all il minuscolo ERA bricks una place.
post-0557,Sukhoi Su 27 Flanker,Primo kit Revell still based on spy photos.
post-0561,M24 Chaffee tank,Matchbox had una great idea by including una small diorama base con il kit.
post-0564,Lockheed A-12,"Primo figther versione, lo will later become il SR71 recon versione. Vecchio kit Revell."
post-0572,SpäPz Luchs,"3 Komp 7 PzAufklBtl Augustdorf 1989.
Very detailed suspension provided by il kit."
post-0579,McDonnell F15 Eagle,"Very early kit Monogram appeared when no official livrea fu established yet, radome made openable."
post-0583,Tiger II tank,"Questo fu una motorired giapponese autoro kit comprato long time ago, I will research per further details."
post-0587,DeHavilland Tiger Moth,"Il vecchio kit Airfix, modello by Franco Donati."
post-0590,Junkers Ju86 R,"Extreme high altitude reconnaissance-bombardiere, conversione done when no kit existed yet."
post-0591,Supermarine Spiteful,I had il crazy idea di una 1/32 Spiteful when no kit del Spiteful ever existed e mi piaced questo type very much.
post-0592,Fokker V8,"If una triplane flies well, una quintuplane would fly even better, right? You wouldn't believe but such una concoction fu in effetti costruito e flown, lo made two brief flights in ottobre 1917, obviously its flght characteristics erano abysmal e il monstrosity fu put una bed."
post-0593,Fokker E IX,"Questo è una immaginario modello, I wanted una check how incredibly modern una monoplane Fokker DVIII would look like, e indeed lo does."
post-0594,Westland Lysander,"Il kit in questa scala è piuttosto insolito e notevole, ready per undercover operations, questo gives e aura di mystery!"
post-0599,Chevrolet Corvette C7R,Livrea Nice lines e.
post-0607,Dornier Do335 'Pfeil',Bel kit which allows una build both il single e twin seat versions.
post-0610,Grumman Ov-1A Mohawk,"sn2617 23 special warfare av detachment vietnam 1963, interessante soggetto per una 1/48 kit."
post-0623,Heinkel He170,"Magyar Királyi Honvéd Légierő 2.Palatabla Felderito Iskolszazad 1942.
I did all il 3 variations di questo bello piccolo kit."
post-0627,Convair F-102A Delta Dagger,"525 FIS, 86 FG 56-1264/FC-264 (Lt.Col. Charles W. Autolson Jr.) settembre 1960 - Bitburg AB DE unfortunately I missed il tail white underground."
post-0628,25 Pdr Field Gun & Quad Gun Tractor,"Intiguing kit con lots di display possibilities.
Il articulated trailer always fascinated me."
post-0629,Westland Wyvern,"WZ974 Number827 Sqn HMS Eagle 1955. Colorful Suez crisis insegne. Intrigante aereo linee e superbly motoreered kit, Trumpeter even provided il gears per contra-rotante elica movement."
post-0635,Consolidated B24 Liberator,Buon vecchio kit Airfix.
post-0640,Eurofighter EFA,"Immaginario prototipo livrea, il kit appeared before primo flght."
post-0641,Boeing Vertol CH-46 Sea Knight,"Marines livrea, unfortunately incompleto."
post-0642,Ford Galaxie Skyliner,"Sporting una retrattile hardtop in 1959!
Il complex leverages sono reproduced nel kit."
post-0645,BMW 320i Gr.5 Jägermeister,"Come corse nel 1977 DTM, il Jägermeister livery è always stunning."
post-0648,Ferrari 312 T3 F1,"1978 campionato di F1.
Rather basic kit."
post-0649,Lotus 49B,My primo grande scala kit by Tamiya.
post-0650,Alfa Romeo 155 V6 TI Martini,"Corse nel DTM 1995, nice powerful auto."
post-0651,ford Model T,"vecchio kit Airfix.
Costruito da Franco Donati."
post-0660,Fiat 500B Topolino,Piccolo kit grazioso:.
post-0661,Wild Willy Jr.,Grazioso buffa piccolo 4x4 kit.
post-0672,Dornier Do 27,Aircraft con bello clean linee. Insolito soggetto in questo grande scala.
post-0673,Hispano Aviacion HA220 Super Saeta,"Designed pst war in cooperation con Willy Messerschmitt.
#1/72 Hobby."
post-0675,Sherman tank 'Firefly',"Sherman autoro con improved british 17 pounder anti autoro gun.
Bello piccolo diorama included nel kit."
post-0679,Aichi D3 A1 Type 99 Bomber (Val),"Aircraft autorier Soryu Pearl Harbour 7 Dec 1941, bello colourful insegne."
post-0680,Martin Baker MB5,"Very avanzato di fine guerra figther prototipo, vac-form kit."
post-0684,U Boot UXXI,Bel kit con full interior. Questo U-boot has been preserved e lo è now una floating museum che can be visited in Bremerhaven Germany.
post-0686,Ford Fiesta RS,"Pilota: Ken Block, special decals bought online."
post-0689,Krupp Protze,Grazioso diorama con cobblestone street e telegraph pole included nel kit.
post-0690,Messerschmitt Me262 'Forward cockpit ' project,credo lo could have workerd very well.
post-0692,A34 Comet British Tank,With small diorama inclided nel kit.
post-0693,North American P51D Mustang,Unfortunately il bella chequered nose insegne erano not included nel decals del kit.
post-0702,Airbus A321,"Livrea speciale Austrian Airlines, 1996 Austrian Millenium.
Notevole decals del kit."
post-0706,Avro RJ-85,"Kit minuscolo, bell’aereo linee."
post-0714,Dornier Do217,Part di Airfix Mistel kit con Messerschmitt Me328.
post-0715,North American T2C Buckeye,"Livrea Unusual subject, nice."
post-0716,Focke Wulf FW 189,Buon vecchio kit Airfix.
post-0717,MISTEL 5 He 162 A-2 & Arado E 377a,"Intrigante kit, ora credo rather raro."
post-0719,Mazda RX7 Efini,"Bello piccolo kit da una interessante company.
#1/32 Owner Club."
post-0720,Martin B-57G Tropic Moon III,"Conversione da BAC Canberra kit Airfix, when no kit di questo versione fu available."
post-0725,Sukhoi Su 2 R,Rather insolito soggetto per un modello kit.
post-0731,Dornier Do 335 Pfeil,"4-blade elica added una check how lo would look like.
#1/48 Monogram."
post-0734,De Havilland DH88 Comet racer,Splendida livrea e very bello racer linee captured by il vecchio kit Airfix.
post-0737,Lockheed S3A Viking,Intrigante kit.
post-0751,Shin Meiwa PS-1,Livrea Nice airplane lines e nice.
post-0758,Brewster Buffalo F2A RAF,Piccolo kit grazioso e forma.
post-0773,Mercedes Benz CLK,"Livrea raced in DTM 2002, nice."
post-0776,Porsche 935 Kremer Vaillant,Pilota: Bob Wollek 1976 DRM (Deutsche Rennwagen Meistershchaft) Kremer Racing. Nice livery.
post-0781,Focke Wulf FW190 A8,As flown by Obltnt Josef Priller Stab JG26.
post-0782,Mercedes Unimog,Buffa piccolo 4x4 motorized kit.
post-0785,Focke Wulf FW190-D9,Radiator cowling re-done in balsa una improve original kit's forma.
post-0786,Messerschmitt Me262,"Rubber tires erano provided con il kit, still standing up una now."
post-0801,Pontiac Firebird Trans Am,"Anno modellolo 1985, beautiful auto, kit bought nel US."
post-0802,Pontiac Fiero,"Anno modellolo 1984, cute little kit, bought nel US."
post-0804,Suzuki Cappuccino,"grazioso piccolo kit, mi piace il detailed parte inferiore e il option di closed or open versione."
post-0811,Chevrolet Monte Carlo SS,"Sponsor Skoal Bandit pilota:Harry Gant, kit comprato nel US."
post-0812,Ford Thunderbird Stock Car Coors,"Come corse con Bill Elliott NASCAR championship 1984, kit bought nel US."
post-0820,Ford New Thunderbird,"2002 modello year.
Bel kit including hardtop."
post-0821,Slot car bodies 1/32 scale:,"- Ford Escort Castrol, conversione da kit Airfix, I corse una lot con lo all’epoca, uno dei primi conversions.
- Alpine Le Mans."
post-0828,Porsche 936-78,"mi piaced il aero concetto very much so I converted il Porsche 936/77 una 936/78, when no kit fu available. Then Tamiya came up con che very kit."
post-0829,Chevrolet Monte Carlo,"NASCAR 1998 championship, Goodwrench - pilota:Dale Earnhardt.
Bel kit con intricate inner detail."
post-0830,Supermarine Spitfire,"Balsa kit.
Modello di Franco Donati."
post-0831,Bell Hueycobra,"Interessante kit in questo grande scala, autocostruito IR exhaust suppression device."
post-0836,BMW M3 Group A,Livrea Nice.
post-0837,Benetton Ford B188,"Corse nel 1988 F1 championship.
Unfortunately not il correct green hue I'm afraid."
post-0847,Phoenix MAN Racing Truck,"Pilota: Gerd Körber.
Unfortunately il vinyl tires aged piuttosto badly.
Modello di Franco Donati."
post-0848,Supermarine Spitfire Mk1b,"Primo kit in una very grande scala per l’epoca, It fu una event per il modellolers'community.
Modello di Franco Donati."
post-0850,Lotus 72D driver Emerson Fittipaldi,"Worls campione in 1972. Possibly il best Formula 1 ever, corse da 1970 una 1975. 2 Pilota's Campionato del Mondos e 3 Constructor's World chamionships won. In 1975 she fu even still primo per una few laps in Monaco GP."
post-0862,North American A-5 Vigilante,unfortunately incompleto.
post-0863,Junkers Ju87 Stuka,As flown by Italian Regia Aeronautica.
post-0875,"Tyrrel 004 1971 F1 world champion, driver Jackie Stewart","bought in 1972, its price una quell’epoca fu 3.5 Euros!!
#1/12 'Tamiya."
post-0882,Chevrolet Camaro IROC-Z,"Notevole kit in enorme 1/8 scala, bella auto as well."
post-0887,Vought Corsair modified,mi piaced una know how una Corsair would have looked like con una avanzato cockpit una obviate visibility issues.
post-0888,Boeing X 32 JSF,"Il primo volo del X-32A (designed per CTOL e autorier trials) took place on 18 settembre 2000, da Boeing's Palmdale plant una Edwards Air Force Base."
post-0903,Mitsubishi Ki-109 gun carrier,"Bel kit, il fusoliera fu moulded in clear plastic una show il interior."
post-0917,Arado Ar440,Conversione da Ar 240 kit Revell.
post-0922,Grumman F7F Tigercat,I wanted una check how il aereo con una bubble tettuccio would look like....
post-0928,Consolidated Vultee Vegeance MkII,Bello insolito soggetto per un kit.
post-0929,Grumman F9F-5 Cougar,Conversione da Panther una Cougar when no Cougar kit fu available.
post-0932,Douglas F3D-2 Skyknight,"VMF(N) 513 USMC South Korea agosto 1953, bello soggetto per un modello kit."
post-0936,Chevrolet Corvette 1985,Notevole kit in enorme scala.
post-0945,Fokker Dr1,"As flown by il famous 'Red Baron', Manfred von Richthofen."
post-0951,Focke Wilf Triebflügel,"Progetto di vertical take off e landing jet figther, doubtful lo would have worked."
post-0952,Dornier Do335 B,"Progetto di night figther versione di do 335, Buon vecchio Frog kit."
post-0953,Junkers EF128,"Progetto di una single motored jet figther in 1944 Modello done at una time when no kit fu yet available, very interessante aerodynamic concetto."
post-0954,Supermarine Spiteful,Conversione done when no Spiteful kit fu available.
post-0956,Messerschmitt Me163C,"Evolution progetto del Me162B but still con most if il inherent limitations in terms di gamma, but still mi piace il teardrop tettuccio very much."
post-0957,Blohm&Voss P211.02,"B&W progetto submitted per il Volksjäger competition in settembre 1944, very interessante progetto could bave been superior unal actual vincitrice He 162."
post-0958,Focke Wulf Ta183,"progetto di una single motored jet figther 1944, very avanzato aerodynamics per l’epoca, even if il T-tail could have given problems."
post-0960,Messerschmitt Me262 B1a,"Conversione una night figther dal kit Airfix, antennas unfortunately gone after all questo time."
post-0961,Manned V2 project,"It would have taken il poor pilota piuttosto some guts una fly questo thing.
#1/72 Hobby."
post-0962,Messerscmitt Me110G night fighter,Conversione da kit Airfix.
