post_id,italian_caption
post-0077,"Intercettore a statoreattore: il pilota era disteso prono sopra lo statoreattore, in stile Barone di Münchhausen. Ahimè, l’ala in resina ha ceduto alle ingiurie del tempo e al peso opprimente, ed è ormai deformata come un cavatappi particolarmente ostinato. #1/72 #resin #Luft46 #SkodaKauba"
post-0078,Progetto di caccia a reazione di fine guerra per il “Jägernotprogramm”. #1/72 #SpecialHobby #Luft46 #Blohm&VossP211
post-0081,"Un congegno deliziosamente folle, se mi passate l’espressione. #PayenPa22 #1/72 #resinkit #Luft46"
post-0083,Prima versione d’alta quota del Me109. #1/72 #MPM #Me109H1
post-0086,Ultima variante del Messerschmitt Me109 prodotta in Cecoslovacchia con motori Jumo. #1/72 #KOPRO #AviaS199
post-0087,"Conversione Airfix in caccia d’assalto pesante, Jagdgeschwader 4, novembre 1944. #1/72 #conversion #FW190A8"
post-0088,Aspetto intrigante e futuristico. #1/72 #Italeri #YF23
post-0089,"Questo congegno, concepito come grande successore del venerabile Me 109, si rivelò purtroppo un affare piuttosto deludente: più un esercizio di follia ingegneristica che un degno erede del suo illustre predecessore. #1/72 #HUMA"
post-0091,È piuttosto evidente che la superficie della deriva è troppo piccola. #1/72 #conversion #Me509
post-0092,"Volevo vedere che aspetto avrebbe avuto un Ta154 ad ala bassa, per migliorare la visibilità del pilota. Deve però essere un tail-sitter, altrimenti la lunghezza del carrello anteriore sarebbe eccessiva. In ogni caso, con tutto il rispetto per il professor Tank, il Mosquito resta insuperato. #1/72 #conversion"
post-0093,"6 rosso della 238ª Squadriglia, 101° Gruppo Tuffatori, 5° Stormo Assalto, Regia Aeronautica, Manduria, estate 1943. #1/72 #Supermodel #Re2002"
post-0094,Purtroppo incompleto. #1/72 #MPM #He100
post-0095,"Mi piaceva l’aspetto del Mirage biposto, così ho realizzato la conversione con un nuovo tettuccio termoformato. #1/72 #conversion #MirageIII"
post-0096,Aereo personale di un Geschwader Kommodore. #1/72 #KOPRO #Ar96
post-0097,"Tipico progetto di caccia del dopoguerra, molto debitore ai progetti tedeschi. #1/72 #Matchbox #SAABJ29"
post-0098,"Strano congegno dall’aspetto bizzarro per un aereo passeggeri, eh? Quella dannata cosa si alzò in volo come un’anatra di piombo, o forse no... #1/72 #Airmodel #vacform #FW19"
post-0099,Evoluzione dell’Arado 96 costruita con materiali non strategici. #1/72 #Airmodel #vacform #Ar396
post-0100,"Aereo d’assalto notturno, con linee molto pulite per essere un biplano. #1/72 #resinkit #Go145"
